Instance Name     Cluster Name    Status   Image Version                           Role     Node name             Operator Version
cluster-user1-1   cluster-user1   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-1  1.22.0
cluster-user1-2   cluster-user1   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user1-3   cluster-user1   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user10-1  cluster-user10  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-1  1.22.0
cluster-user10-2  cluster-user10  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user10-3  cluster-user10  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user11-1  cluster-user11  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-2  1.22.0
cluster-user11-2  cluster-user11  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user11-3  cluster-user11  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user12-1  cluster-user12  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-0  1.22.0
cluster-user12-2  cluster-user12  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user12-3  cluster-user12  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user13-1  cluster-user13  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-0  1.22.0
cluster-user13-2  cluster-user13  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user13-3  cluster-user13  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user14-1  cluster-user14  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-1  1.22.0
cluster-user14-2  cluster-user14  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user14-3  cluster-user14  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user15-1  cluster-user15  Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-2  1.22.0
cluster-user15-2  cluster-user15  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user15-3  cluster-user15  Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user2-1   cluster-user2   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-2  1.22.0
cluster-user2-2   cluster-user2   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user2-3   cluster-user2   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user3-1   cluster-user3   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-2  1.22.0
cluster-user3-2   cluster-user3   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user3-3   cluster-user3   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user4-1   cluster-user4   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-0  1.22.0
cluster-user4-2   cluster-user4   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
cluster-user4-3   cluster-user4   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user5-1   cluster-user5   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-1  1.22.0
cluster-user5-2   cluster-user5   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-0  1.22.0
cluster-user5-3   cluster-user5   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user6-1   cluster-user6   Running  ghcr.io/cloudnative-pg/postgresql:14.2  primary  k3d-cnp-demo-agent-0  1.22.0
cluster-user6-2   cluster-user6   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-2  1.22.0
cluster-user6-3   cluster-user6   Running  ghcr.io/cloudnative-pg/postgresql:14.2  replica  k3d-cnp-demo-agent-1  1.22.0
